NAMES,HABITAT,NO .OF THREATS,POPULATION TREND,CATEGORY STATUS,CATEGORY,GENERATION LENGTH
Somatochlora exuberata ssp. exuberata,Forest,2,Stable,lc, INSECTA,2
Taita Blue-banded Papilio,Forest,4,Decreasing,en, INSECTA,
Buchholz' Cordulegaster,Wetlands (inland),3,Decreasing,en, INSECTA,
Greek Goldenring,Wetlands (inland),4,Decreasing,en, INSECTA,2
Delphi Cordulegaster,Wetlands (inland),2,Decreasing,cr, INSECTA,2
Migratory Monarch Butterfly,Forest,6,Decreasing,vu, INSECTA,0.5
Black-lined Damselfly,Wetlands (inland),1,Decreasing,en, INSECTA,
Western Chimpanzee,Forest,8,Decreasing,cr, MAMMALIA,23
Eastern Chimpanzee,Forest,10,Decreasing,en, MAMMALIA,25
Central Chimpanzee,Forest,7,Decreasing,en, MAMMALIA,24.6
Nigeria-Cameroon Chimpanzee,Forest,5,Decreasing,en, MAMMALIA,25
Northwest Bornean Orangutan,Forest,6,Decreasing,cr, MAMMALIA,25
Southwest Bornean Orangutan,Forest,6,Decreasing,cr, MAMMALIA,25
Northeast Bornean Orangutan,Forest,6,Decreasing,cr, MAMMALIA,25
Grauer's Gorilla,Forest,9,Decreasing,cr, MAMMALIA,20
Mountain Gorilla,Forest,11,Increasing,en, MAMMALIA,20
Eastern Patas Monkey,Forest,2,Decreasing,vu, MAMMALIA,9.7
Cross River Gorilla,Forest,5,Decreasing,cr, MAMMALIA,22
Ladoga Seal,Wetlands (inland),6,Increasing,vu, MAMMALIA,
Western Lowland Gorilla,Forest,7,Decreasing,cr, MAMMALIA,22
Arabian Leopard,Forest,7,Decreasing,cr, MAMMALIA,7.42
Malayan Pale-thighed Langur,Forest,1,Decreasing,nt, MAMMALIA,10
Western Tent Tortoise,Shrubland,5,Decreasing,en, REPTILIA,27.5
Budgett's Tantalus,Forest,2,Stable,lc, MAMMALIA,
Tantalus Monkey,,2,Stable,lc, MAMMALIA,
Saimaa Seal,Wetlands (inland),8,Increasing,en, MAMMALIA,
Hilgert's Vervet Monkey,Forest,2,Decreasing,lc, MAMMALIA,
Exuma Rock Iguana,Shrubland,5,Decreasing,cr, REPTILIA,
Bontebok,Shrubland,3,Stable,vu, MAMMALIA,
Blesbok,Grassland,2,Increasing,lc, MAMMALIA,
Manyara Monkey,Forest,2,Decreasing,en, MAMMALIA,
Reddish-Green Vervet Monkey,Forest,2,Decreasing,lc, MAMMALIA,
Golden Monkey,Forest,3,Decreasing,en, MAMMALIA,13.4
Balkan Lynx,Forest,5,Stable,cr, MAMMALIA,4
Bay Colobus,Forest,5,Decreasing,en, MAMMALIA,10
Tanzania Sykes’ Monkey,Forest,3,Decreasing,lc, MAMMALIA,
Andros Rock Iguana,Forest,7,Decreasing,en, REPTILIA,
Defassa Waterbuck,Forest,1,Decreasing,nt, MAMMALIA,7.1
Kolb's White-collared Monkey,Forest,3,Decreasing,lc, MAMMALIA,
Stuhlmann’s Blue Monkey,Forest,3,Decreasing,lc, MAMMALIA,
